"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Length;Characteristics:Guests;Characteristics:Cabins;Characteristics:Crew;Characteristics:Year;Weight;Length;Width;Height;Unit;Portion;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr";Url;Tabs:1;Tabs:2
390843398441;;;;"Azure 48 Hybrid";"Azure 48 Hard Top";"Basic Specs";;https://static.tildacdn.com/tild3637-3230-4161-b263-353439323838/IMG_2197.jpg;;;;"product_options:[{""title"":""Color"",""params"":{""view"":""select"",""hasColor"":false,""linkImage"":false}},{""title"":""Engine"",""params"":[]},{""title"":""Battery"",""params"":[]}]";"Color:Water=+0;Earth=+0;Air=+0;Fire=+0;Spirit=+0;Engine";Okstgvmtp44Y9jnaPtRi;;;;;;;0;0;0;0;PCE;1;;;;;;https://azureyachtgroup.com/tproduct/1-390843398441-azure-48-hard-top;;
249711504931;;A100002;;;"Azure 48 Hard Top - Water - Twin Yanmar 485HP (up to 38 knots) - 60KWH (2 hours pure electric)";;;;500.00;9;;"Color:Water;Engine:Twin Yanmar 485HP (up to 38 knots);Battery:60KWH (2 hours pure electric)";;"""";390843398441;;;;;;2147483647;0;0;0;;;;;;;;https://azureyachtgroup.com/tproduct/1-390843398441-azure-48-hard-top?editionuid=249711504931;;
922849393241;;A100003;;;"Azure 48 Hard Top - Earth - Twin Yanmar 485HP (up to 38 knots) - 60KWH (2 hours pure electric)";;;;500.00;10;;"Color:Earth;Engine:Twin Yanmar 485HP (up to 38 knots);Battery:60KWH (2 hours pure electric)";;"""";390843398441;;;;;;2147483647;0;0;0;;;;;;;;https://azureyachtgroup.com/tproduct/1-390843398441-azure-48-hard-top?editionuid=922849393241;;
206056115321;;A100004;;;"Azure 48 Hard Top - Air - Twin Yanmar 485HP (up to 38 knots) - 60KWH (2 hours pure electric)";;;;500.00;10;;"Color:Air;Engine:Twin Yanmar 485HP (up to 38 knots);Battery:60KWH (2 hours pure electric)";;"""";390843398441;;;;;;2147483647;0;0;0;;;;;;;;https://azureyachtgroup.com/tproduct/1-390843398441-azure-48-hard-top?editionuid=206056115321;;
799508184881;;A100005;;;"Azure 48 Hard Top - Fire - Twin Yanmar 485HP (up to 38 knots) - 60KWH (2 hours pure electric)";;;;500.00;10;;"Color:Fire;Engine:Twin Yanmar 485HP (up to 38 knots);Battery:60KWH (2 hours pure electric)";;"""";390843398441;;;;;;2147483647;0;0;0;;;;;;;;https://azureyachtgroup.com/tproduct/1-390843398441-azure-48-hard-top?editionuid=799508184881;;
618707175061;;A100006;;;"Azure 48 Hard Top - Spirit - Twin Yanmar 485HP (up to 38 knots) - 60KWH (2 hours pure electric)";;;;500.00;10;;"Color:Spirit;Engine:Twin Yanmar 485HP (up to 38 knots);Battery:60KWH (2 hours pure electric)";;"""";390843398441;;;;;;2147483647;0;0;0;;;;;;;;https://azureyachtgroup.com/tproduct/1-390843398441-azure-48-hard-top?editionuid=618707175061;;
851303711451;;;;"Azure 48 Hybrid";"Azure 48 Hybrid Saloon Express";"Basic Specs";;https://static.tildacdn.com/tild3637-3230-4161-b263-353439323838/IMG_2197.jpg;;;;"product_options:[{""title"":""Color"",""params"":{""view"":""select"",""hasColor"":false,""linkImage"":false}},{""title"":""Engine"",""params"":[]},{""title"":""Battery"",""params"":[]}]";"Color:Water=+0;Earth=+0;Air=+0;Fire=+0;Spirit=+0;Engine";TnnyYfsxF3k02HrkSLKY;;;;;;;0;0;0;0;PCE;1;;;;;;https://azureyachtgroup.com/tproduct/1-851303711451-azure-48-hybrid-saloon-express;;
712698108431;;A100002;;;"Azure 48 Hybrid Saloon Express - Water - Twin Yanmar 485HP (up to 38 knots) - 60KWH (2 hours pure electric)";;;;500.00;10;;"Color:Water;Engine:Twin Yanmar 485HP (up to 38 knots);Battery:60KWH (2 hours pure electric)";;"""";851303711451;;;;;;2147483647;0;0;0;;;;;;;;https://azureyachtgroup.com/tproduct/1-851303711451-azure-48-hybrid-saloon-express?editionuid=712698108431;;
671219007721;;A100003;;;"Azure 48 Hybrid Saloon Express - Earth - Twin Yanmar 485HP (up to 38 knots) - 60KWH (2 hours pure electric)";;;;500.00;10;;"Color:Earth;Engine:Twin Yanmar 485HP (up to 38 knots);Battery:60KWH (2 hours pure electric)";;"""";851303711451;;;;;;2147483647;0;0;0;;;;;;;;https://azureyachtgroup.com/tproduct/1-851303711451-azure-48-hybrid-saloon-express?editionuid=671219007721;;
497319502101;;A100004;;;"Azure 48 Hybrid Saloon Express - Air - Twin Yanmar 485HP (up to 38 knots) - 60KWH (2 hours pure electric)";;;;500.00;10;;"Color:Air;Engine:Twin Yanmar 485HP (up to 38 knots);Battery:60KWH (2 hours pure electric)";;"""";851303711451;;;;;;2147483647;0;0;0;;;;;;;;https://azureyachtgroup.com/tproduct/1-851303711451-azure-48-hybrid-saloon-express?editionuid=497319502101;;
